Index,County,Local_Authority,Roll_Nr,Name,Ethos,Island,Irish,DEIS,Total_Boys,Total_Girls,Total_Pupils,Class_size_0_9,Class_size_10_19,Class_size_20_24,Class_size_25_29,Class_size_30_34,Class_size_35_39,Class_size_40_45,Type
1,Carlow,Carlow County Council,00651R,Borris Mxd N S,Catholic,N,No Irish,N,104,103,207,,,,78,129,,,MS
2,Carlow,Carlow County Council,00977B,Ballyconnell N S,Catholic,N,No Irish,N,79,82,161,,17,21,,123,,,MS
3,Carlow,Carlow County Council,01116A,Baile An Chuilinn N S,Catholic,N,No Irish,N,53,54,107,,,23,84,,,,MS
4,Carlow,Carlow County Council,01215C,Newtown Dunleckney Mxd,Catholic,N,No Irish,N,71,60,131,,,47,53,31,,,MS
5,Carlow,Carlow County Council,01415K,Rathoe Ns,Catholic,N,No Irish,N,98,89,187,,19,23,82,63,,,MS
6,Carlow,Carlow County Council,02124E,Scoil Nais Molaise,Catholic,N,No Irish,N,74,57,131,,,20,111,,,,MS
7,Carlow,Carlow County Council,04077I,Scoil Nais Bhride,Catholic,N,No Irish,N,90,83,173,,,68,27,67,,,MS
8,Carlow,Carlow County Council,09320Q,Scoil Nais Mhuire,Catholic,N,No Irish,N,51,45,96,,,42,54,,,,MS
9,Carlow,Carlow County Council,11135K,St Marys N S,Church Of Ireland,N,No Irish,N,42,42,84,,,,53,31,,,MS
10,Carlow,Carlow County Council,13105L,St Bridgets Monastery,Catholic,N,No Irish,N,111,1,112,,53,20,,31,,,MS
11,Carlow,Carlow County Council,13507I,S N Muire Lourdes,Catholic,N,No Irish,N,0,215,215,,,48,106,61,,,MS
12,Carlow,Carlow County Council,13607M,St Columbas N S,Church Of Ireland,N,No Irish,N,34,34,68,,18,23,27,,,,MS
13,Carlow,Carlow County Council,14837L,S N Peadar Agus Pol,Catholic,N,No Irish,N,146,135,281,,,42,109,125,,,MS
14,Carlow,Carlow County Council,16080N,S N Phadraig Naofa,Catholic,N,No Irish,N,213,0,213,,,71,79,63,,,MS
15,Carlow,Carlow County Council,16938E,Fr Cullen Memorial N S,Catholic,N,No Irish,N,77,92,169,,,22,84,63,,,MS
16,Carlow,Carlow County Council,17053P,Bishop Foley Memorial School,Catholic,N,No Irish,N,277,0,277,,,,217,60,,,MS
17,Carlow,Carlow County Council,17096K,S N Nmh Fhingin,Catholic,N,No Irish,Y,25,14,39,,19,20,,,,,MS
18,Carlow,Carlow County Council,17127S,St Josephs Ns,Catholic,N,No Irish,Y,69,69,138,,17,67,54,,,,MS
19,Carlow,Carlow County Council,17330P,Scoil N Moling-Glynn,Catholic,N,No Irish,N,21,35,56,,14,42,,,,,MS
20,Carlow,Carlow County Council,17462J,Scoil Nais Mhichil,Catholic,N,No Irish,N,24,22,46,,,20,26,,,,MS
21,Carlow,Carlow County Council,17481N,St Brendans N S,Catholic,N,No Irish,N,7,8,15,15,,,,,,,MS
22,Carlow,Carlow County Council,17501Q,Bennekerry National School,Catholic,N,No Irish,N,223,208,431,,,45,266,120,,,MS
23,Carlow,Carlow County Council,17514C,S N Cluain Na Gall,Catholic,N,No Irish,N,72,59,131,,,71,50,,,,MS
24,Carlow,Carlow County Council,17663T,St Patricks N S,Catholic,N,No Irish,N,95,105,200,,,24,108,68,,,MS
25,Carlow,Carlow County Council,17669I,S N Treasa Naomha,Catholic,N,No Irish,Y,34,29,63,,37,,26,,,,MS
26,Carlow,Carlow County Council,17756D,Ballinabranna Mxd N S,Catholic,N,No Irish,N,81,95,176,,,47,28,64,37,,MS
27,Carlow,Carlow County Council,17796P,Our Lady'S National School,Catholic,N,No Irish,N,20,23,43,,,43,,,,,MS
28,Carlow,Carlow County Council,17994T,S N Fhoirtcheirn/Fhinin,Catholic,N,No Irish,N,51,68,119,,37,21,29,32,,,MS
29,Carlow,Carlow County Council,18024N,Scoil Muire Gan Smal,Catholic,N,No Irish,N,41,33,74,,,20,54,,,,MS
30,Carlow,Carlow County Council,18090D,S N Cill Damhain,Catholic,N,No Irish,N,47,46,93,,,41,52,,,,MS
31,Carlow,Carlow County Council,18183K,Queen Of Universe N S,Catholic,N,No Irish,N,101,191,292,,,,160,121,,,MS
32,Carlow,Carlow County Council,18363M,S N Muire Gan Smal,Catholic,N,No Irish,N,0,442,442,,,48,274,120,,,MS
33,Carlow,Carlow County Council,18424G,Scoil Nais Iosef Naofa,Catholic,N,No Irish,N,163,4,167,,,48,107,,,,MS
34,Carlow,Carlow County Council,18510W,St Patrick'S National School,Catholic,N,No Irish,N,23,24,47,,,22,25,,,,MS
35,Carlow,Carlow County Council,18609S,S N Fiontain Naofa,Catholic,N,No Irish,N,14,8,22,9,13,,,,,,MS
36,Carlow,Carlow County Council,18615N,S N Ceatharlach,Church Of Ireland,N,No Irish,N,67,58,125,,,45,80,,,,MS
37,Carlow,Carlow County Council,19477J,Holy Family B N S,Catholic,N,No Irish,Y,400,0,400,,,23,186,191,,,MS
38,Carlow,Carlow County Council,19478L,Holy Family Girls N S,Catholic,N,No Irish,Y,0,373,373,,,113,126,99,35,,MS
39,Carlow,Carlow County Council,19784S,St Laserians Mxd Ns,Catholic,N,No Irish,N,87,88,175,,19,69,25,62,,,MS
40,Carlow,Carlow County Council,19811S,Gaelscoil Eoghain Uí Thuairisc,Catholic,N,All Irish,N,219,257,476,,,60,140,276,,,MS
41,Carlow,Carlow County Council,19958C,S.N. Naomh Fhiach,Catholic,N,No Irish,N,282,249,531,,,71,246,214,,,MS
42,Carlow,Carlow County Council,20295K,Carlow Educate Together Ns,Multi Denominational,N,No Irish,Y,115,106,221,,56,,57,96,,,MS
43,Cavan,Cavan County Council,01356U,Kilnaleck Mixed N S,Catholic,N,No Irish,Y,41,34,75,,,23,52,,,,MS
44,Cavan,Cavan County Council,05627W,Bailieboro Model N S,Church Of Ireland,N,No Irish,N,52,43,95,,,42,53,,,,MS
45,Cavan,Cavan County Council,06998Q,St Patrick'S Ns,Catholic,N,No Irish,Y,20,14,34,,13,21,,,,,MS
46,Cavan,Cavan County Council,08143P,S N Mhuire,Catholic,N,No Irish,Y,29,19,48,,48,,,,,,MS
47,Cavan,Cavan County Council,08453H,S N Cruabanai,Catholic,N,No Irish,N,98,90,188,,,22,135,31,,,MS
48,Cavan,Cavan County Council,08490N,St Clares Primary School,Catholic,N,No Irish,Y,138,383,521,,,458,54,,,,MS
49,Cavan,Cavan County Council,08948L,Milltown N S,Catholic,N,No Irish,N,69,51,120,,,65,55,,,,MS
50,Cavan,Cavan County Council,10146K,Corliss N S,Catholic,N,No Irish,N,10,15,25,8,17,,,,,,MS
51,Cavan,Cavan County Council,11205F,Killeshandra National School ( C Of I),Church Of Ireland,N,No Irish,N,31,30,61,,16,45,,,,,MS
52,Cavan,Cavan County Council,11409V,Ballyconell Central N S,Church Of Ireland,N,No Irish,N,17,8,25,8,17,,,,,,MS
53,Cavan,Cavan County Council,11517B,Cavan 1 N S,Church Of Ireland,N,No Irish,N,43,41,84,,,,50,34,,,MS
54,Cavan,Cavan County Council,11541V,Dromaili S N,Catholic,N,No Irish,N,127,113,240,,,40,168,32,,,MS
55,Cavan,Cavan County Council,12099O,Billis N S,Church Of Ireland,N,No Irish,N,47,46,93,,19,45,29,,,,MS
56,Cavan,Cavan County Council,12312L,Darley N S,Church Of Ireland,N,No Irish,N,45,41,86,,33,48,,,,,MS
57,Cavan,Cavan County Council,12713G,Corratober N S,Catholic,N,No Irish,N,0,4,4,4,,,,,,,MS
58,Cavan,Cavan County Council,13203L,St Patricks Mxd N S,Catholic,N,No Irish,N,65,53,118,,,,83,,35,,MS
59,Cavan,Cavan County Council,13271F,Fairgreen N S,Church Of Ireland,N,No Irish,N,25,17,42,,19,23,,,,,MS
60,Cavan,Cavan County Council,14073G,Castletara N S,Catholic,N,No Irish,N,77,54,131,,12,22,27,,70,,MS
61,Cavan,Cavan County Council,14211P,S N Lathrach 2,Catholic,N,No Irish,N,66,56,122,,,67,25,30,,,MS
62,Cavan,Cavan County Council,14320U,Corlea N S,Catholic,N,No Irish,N,15,10,25,,25,,,,,,MS
63,Cavan,Cavan County Council,14336M,Searcog I N S,Catholic,N,No Irish,N,91,96,187,,,69,53,30,35,,MS
64,Cavan,Cavan County Council,14399N,Killygarry N S,Catholic,N,No Irish,N,103,103,206,,,,79,127,,,MS
65,Cavan,Cavan County Council,14732U,Scoil Bhride,Catholic,N,No Irish,N,52,71,123,,37,,86,,,,MS
66,Cavan,Cavan County Council,15120R,Killyconnan N S,Catholic,N,No Irish,N,45,47,92,,,65,27,,,,MS
67,Cavan,Cavan County Council,15452T,Kildallon N S,Catholic,N,No Irish,N,20,27,47,,,47,,,,,MS
68,Cavan,Cavan County Council,15502I,Killinkere N S,Catholic,N,No Irish,N,89,84,173,,32,21,28,92,,,MS
69,Cavan,Cavan County Council,16057S,Convent Of Mercy N S,Catholic,N,No Irish,N,34,119,153,,,45,108,,,,MS
70,Cavan,Cavan County Council,16083T,Virginia Mxd N S,Catholic,N,No Irish,N,192,197,389,,,63,197,129,,,MS
71,Cavan,Cavan County Council,16093W,Ballyconnell Mxd N S,Catholic,N,No Irish,N,66,64,130,,51,23,25,31,,,MS
72,Cavan,Cavan County Council,16316Q,St Marys N S,Catholic,N,No Irish,N,68,58,126,,,66,28,32,,,MS
73,Cavan,Cavan County Council,16390F,Scoil Bhride,Catholic,N,No Irish,N,43,45,88,,17,46,25,,,,MS
74,Cavan,Cavan County Council,16520P,St Mary'S N.S.,Catholic,N,No Irish,N,23,24,47,,27,20,,,,,MS
75,Cavan,Cavan County Council,16767D,Coronea N S,Catholic,N,No Irish,N,16,14,30,,30,,,,,,MS
76,Cavan,Cavan County Council,16921K,S N Beal Atha Na Neach,Catholic,N,No Irish,N,120,102,222,,,21,159,30,,,MS
77,Cavan,Cavan County Council,16959M,S N Corrabha,Catholic,N,No Irish,N,7,8,15,15,,,,,,,MS
78,Cavan,Cavan County Council,17230L,Scoil Naomh Brid,Catholic,N,No Irish,N,41,33,74,,,23,51,,,,MS
79,Cavan,Cavan County Council,17240O,S N Tamhnach Dhuibh,Catholic,N,No Irish,N,54,34,88,,18,45,25,,,,MS
80,Cavan,Cavan County Council,17326B,S N Naomh Feidhlim,Catholic,N,No Irish,Y,222,4,226,9,73,130,,,,,MS
81,Cavan,Cavan County Council,17440W,S N Naomh Maodhog,Catholic,N,No Irish,N,49,31,80,,19,,28,33,,,MS
82,Cavan,Cavan County Council,17479D,Scoil Mhuire,Catholic,N,No Irish,Y,50,46,96,,,44,52,,,,MS
83,Cavan,Cavan County Council,17531C,Baile Na Mona,Catholic,N,No Irish,N,55,57,112,,,48,,64,,,MS
84,Cavan,Cavan County Council,17601U,S N Doire Na Ceise,Catholic,N,No Irish,N,53,79,132,,,104,28,,,,MS
85,Cavan,Cavan County Council,17625L,Cnoc An Teampaill,Catholic,N,No Irish,N,89,69,158,,17,44,81,,,,MS
86,Cavan,Cavan County Council,17630E,S N Maodhog,Catholic,N,No Irish,N,23,26,49,,,21,28,,,,MS
87,Cavan,Cavan County Council,17780A,Ballyhaise N S,Catholic,N,No Irish,N,62,63,125,,,24,101,,,,MS
88,Cavan,Cavan County Council,17990L,S N Drom Cnamh,Catholic,N,No Irish,N,22,22,44,,,44,,,,,MS
89,Cavan,Cavan County Council,18059J,Bailieboro N S,Catholic,N,No Irish,N,123,145,268,,,65,133,64,,,MS
90,Cavan,Cavan County Council,18127A,S N Mhuire,Catholic,N,No Irish,N,73,0,73,,,23,50,,,,MS
91,Cavan,Cavan County Council,18340A,S N Padraig,Catholic,N,No Irish,N,34,22,56,,,,56,,,,MS
92,Cavan,Cavan County Council,18346M,S N Greach Rathain,Catholic,N,No Irish,N,27,32,59,,36,23,,,,,MS
93,Cavan,Cavan County Council,18355N,Aughadreena National School,Catholic,N,No Irish,N,62,53,115,,,,84,31,,,MS
94,Cavan,Cavan County Council,18393V,S N Cillin,Catholic,N,No Irish,N,50,36,86,,,,26,60,,,MS
95,Cavan,Cavan County Council,18518P,S N Corr Lorgan,Catholic,N,No Irish,N,60,43,103,,19,,53,31,,,MS
96,Cavan,Cavan County Council,18564W,S N Leitir,Catholic,N,No Irish,N,93,105,198,,,24,109,30,35,,MS
97,Cavan,Cavan County Council,18833A,S N Lathrach,Catholic,N,No Irish,N,63,67,130,,,24,106,,,,MS
98,Cavan,Cavan County Council,18857O,S N Carraig A Bruis,Catholic,N,No Irish,N,78,77,155,,,90,,65,,,MS
99,Cavan,Cavan County Council,19202Q,Drumkilly Ns,Catholic,N,No Irish,N,60,71,131,,,,131,,,,MS
100,Cavan,Cavan County Council,19285A,Kill N S,Catholic,N,No Irish,N,40,35,75,,,23,52,,,,MS
101,Cavan,Cavan County Council,19322D,Kilmore Central N S,Church Of Ireland,N,No Irish,N,37,22,59,,37,22,,,,,MS
102,Cavan,Cavan County Council,19326L,Butlersbridge Ns,Catholic,N,No Irish,N,111,109,220,,,,220,,,,MS
103,Cavan,Cavan County Council,19363R,Mullahoran Central N S,Catholic,N,No Irish,Y,71,92,163,,19,,81,63,,,MS
104,Cavan,Cavan County Council,19378H,Ballynarry N S,Catholic,N,No Irish,N,56,33,89,,37,21,,31,,,MS
105,Cavan,Cavan County Council,19418Q,Castlerahan Central Ns,Catholic,N,No Irish,N,78,72,150,,16,24,79,31,,,MS
106,Cavan,Cavan County Council,19432K,Crosskeys Central N S,Catholic,N,No Irish,N,59,60,119,,,90,29,,,,MS
107,Cavan,Cavan County Council,19527V,Cabra Central N S,Church Of Ireland,N,No Irish,N,24,33,57,,13,44,,,,,MS
108,Cavan,Cavan County Council,19568M,St Patricks,Catholic,N,No Irish,N,29,37,66,,16,22,28,,,,MS
109,Cavan,Cavan County Council,19596R,Crosserlough N S,Catholic,N,No Irish,N,51,66,117,,,91,26,,,,MS
110,Cavan,Cavan County Council,19608V,St Killians N S,Catholic,N,No Irish,N,196,174,370,,,160,163,30,,,MS
111,Cavan,Cavan County Council,19679V,S N Aodhain Naofa,Catholic,N,No Irish,N,39,25,64,,,64,,,,,MS
112,Cavan,Cavan County Council,19871N,St Patricks N S,Catholic,N,No Irish,N,33,36,69,,,69,,,,,MS
113,Cavan,Cavan County Council,19921C,Drung No 2 Ns,Church Of Ireland,N,No Irish,N,18,16,34,,34,,,,,,MS
114,Cavan,Cavan County Council,19983B,St Clares Ns,Catholic,N,No Irish,N,230,217,447,,,42,223,182,,,MS
115,Cavan,Cavan County Council,20026G,Gaelscoil Bhreifne,Multi Denominational,N,All Irish,N,18,9,27,,27,,,,,,MS
116,Cavan,Cavan County Council,20134J,St Michaels N. S.,Catholic,N,No Irish,N,34,30,64,,17,20,27,,,,MS
117,Cavan,Cavan County Council,20172R,St Josephs N S,Catholic,N,No Irish,N,221,193,414,,,43,248,123,,,MS
118,Cavan,Cavan County Council,20277I,St Michaels National School,Catholic,N,No Irish,Y,100,94,194,,36,104,54,,,,MS
119,Clare,Clare County Council,02439G,S N Mhuire,Catholic,N,No Irish,N,37,33,70,,,45,25,,,,MS
120,Clare,Clare County Council,03898U,Toonagh N S,Catholic,N,No Irish,N,52,68,120,,,23,28,32,37,,MS
121,Clare,Clare County Council,03928D,Mullach N S,Catholic,N,No Irish,Y,32,32,64,,16,48,,,,,MS
122,Clare,Clare County Council,04548V,Scoil Seanain Naofa,Catholic,N,No Irish,N,179,161,340,,18,106,58,158,,,MS
123,Clare,Clare County Council,04919H,Cratloe N S,Catholic,N,No Irish,N,125,151,276,,,45,106,125,,,MS
124,Clare,Clare County Council,05253H,O Callaghans Mills N S,Catholic,N,No Irish,N,28,34,62,,15,22,25,,,,MS
125,Clare,Clare County Council,07315N,Holy Family Snr,Catholic,N,No Irish,Y,156,186,342,,,221,80,32,,,MS
126,Clare,Clare County Council,09390O,Rockmount Mixed N S,Catholic,N,No Irish,N,26,21,47,,,47,,,,,MS
127,Clare,Clare County Council,09425H,Rineen N S,Catholic,N,No Irish,N,30,20,50,,,22,28,,,,MS
128,Clare,Clare County Council,10568N,S N Cuibhreann,Catholic,N,No Irish,N,8,8,16,6,10,,,,,,MS
129,Clare,Clare County Council,10763L,Boston N S,Catholic,N,No Irish,N,12,11,23,9,14,,,,,,MS
130,Clare,Clare County Council,10886E,Tubber N S,Catholic,N,No Irish,N,13,15,28,,28,,,,,,MS
131,Clare,Clare County Council,11234M,Clohanbeg N S,Catholic,N,No Irish,N,12,9,21,9,12,,,,,,MS
132,Clare,Clare County Council,11714D,Bansha N S,Catholic,N,No Irish,N,31,19,50,,30,20,,,,,MS
133,Clare,Clare County Council,11765U,Doonbeg N S,Catholic,N,No Irish,N,22,29,51,,,22,29,,,,MS
134,Clare,Clare County Council,11990E,Bodyke N S,Catholic,N,No Irish,N,16,8,24,,24,,,,,,MS
135,Clare,Clare County Council,12633I,Coolmeen N S,Catholic,N,No Irish,N,5,9,14,,14,,,,,,MS
136,Clare,Clare County Council,12848G,Doonaha N S,Catholic,N,No Irish,Y,6,8,14,,14,,,,,,MS
137,Clare,Clare County Council,13379C,S N Padraig Nfa Fanoir,Catholic,N,No Irish,N,17,14,31,,10,21,,,,,MS
138,Clare,Clare County Council,13418J,Ballyea Mixed N S,Catholic,N,No Irish,N,109,99,208,,,63,84,61,,,MS
139,Clare,Clare County Council,13625O,Kilnamona N S,Catholic,N,No Irish,N,71,52,123,,,43,80,,,,MS
140,Clare,Clare County Council,13730L,Clohanes N S,Catholic,N,No Irish,N,20,25,45,,15,,,30,,,MS
141,Clare,Clare County Council,13738E,Burrane N S,Catholic,N,No Irish,N,28,33,61,,34,,27,,,,MS
142,Clare,Clare County Council,13804O,S N Na Crannaighe,Catholic,N,No Irish,N,11,13,24,9,15,,,,,,MS
143,Clare,Clare County Council,13826B,Kilmihil N.S.,Catholic,N,No Irish,N,50,47,97,,18,21,26,32,,,MS
144,Clare,Clare County Council,13870E,Kilkishen N S,Catholic,N,No Irish,N,52,64,116,,,24,28,64,,,MS
145,Clare,Clare County Council,13876Q,Moveen N S,Catholic,N,No Irish,N,36,34,70,,,42,28,,,,MS
146,Clare,Clare County Council,13942D,S N Cill Muire,Catholic,N,No Irish,N,75,60,135,,,,135,,,,MS
147,Clare,Clare County Council,14111L,Cross N S,Catholic,N,No Irish,N,8,10,18,7,11,,,,,,MS
148,Clare,Clare County Council,14468G,Kilmaley N S,Catholic,N,No Irish,N,57,67,124,,14,21,55,34,,,MS
149,Clare,Clare County Council,14571W,Tomgraney N S,Catholic,N,No Irish,N,46,42,88,,18,70,,,,,MS
150,Clare,Clare County Council,14622N,Eidhneach N S,Catholic,N,No Irish,N,82,58,140,,16,,81,31,,,MS
151,Clare,Clare County Council,14757N,S N Mhainistir Chuinche,Catholic,N,No Irish,N,155,139,294,,,47,217,30,,,MS
152,Clare,Clare County Council,14830U,Barefield Mixed N S,Catholic,N,No Irish,N,216,184,400,,,70,129,130,71,,MS
153,Clare,Clare County Council,15042A,Ennis N S,Catholic,N,No Irish,N,305,274,579,,,139,270,155,,,MS
154,Clare,Clare County Council,15221A,Annagh N S,Catholic,N,No Irish,Y,51,35,86,,,,52,34,,,MS
155,Clare,Clare County Council,15279I,Clooney N S,Catholic,N,No Irish,N,53,48,101,,,45,25,31,,,MS
156,Clare,Clare County Council,15301V,Kildysart N S,Catholic,N,No Irish,N,69,79,148,,,42,106,,,,MS
157,Clare,Clare County Council,15350L,Stonehall N S,Catholic,N,No Irish,N,54,47,101,,19,23,27,32,,,MS
158,Clare,Clare County Council,15370R,Killaloe Boys N S,Catholic,N,No Irish,N,119,0,119,,35,,53,31,,,MS
159,Clare,Clare County Council,15408Q,Connolly N S,Catholic,N,No Irish,N,21,23,44,,,44,,,,,MS
160,Clare,Clare County Council,15981A,Lakyle N S,Catholic,N,No Irish,N,27,29,56,,32,24,,,,,MS
161,Clare,Clare County Council,16186G,Inch N S,Catholic,N,No Irish,N,50,49,99,,,43,56,,,,MS
162,Clare,Clare County Council,16677C,Bunscoil Na Mbraithre,Catholic,N,No Irish,N,348,319,667,,,112,334,214,,,MS
163,Clare,Clare County Council,16908S,Sixmilebridge N S,Catholic,N,No Irish,N,258,248,506,,,158,210,132,,,MS
164,Clare,Clare County Council,16930L,Scoil An Sraith S N,Catholic,N,No Irish,N,16,10,26,9,17,,,,,,MS
165,Clare,Clare County Council,16946D,Sn An Phairtin Mixed,Catholic,N,No Irish,N,190,186,376,,,67,180,129,,,MS
166,Clare,Clare County Council,17020A,Quilty Ns,Catholic,N,No Irish,Y,21,23,44,,18,,26,,,,MS
167,Clare,Clare County Council,17026M,Clarecastle National School,Catholic,N,No Irish,N,190,184,374,,,140,106,128,,,MS
168,Clare,Clare County Council,17246D,S N Cluain An Atha,Catholic,N,No Irish,N,12,15,27,,27,,,,,,MS
169,Clare,Clare County Council,17270A,S N Colm Cille,Catholic,N,No Irish,N,24,23,47,,18,,29,,,,MS
170,Clare,Clare County Council,17517I,Doolin Mixed N S,Catholic,N,No Irish,N,46,28,74,,,46,28,,,,MS
171,Clare,Clare County Council,17563P,Ogonnelloe National School,Catholic,N,No Irish,N,55,56,111,,,23,57,31,,,MS
172,Clare,Clare County Council,17583V,S N Cnoc An Ein,Catholic,N,No Irish,N,125,140,265,,19,42,107,97,,,MS
173,Clare,Clare County Council,17633K,S N Eoin Baiste,Catholic,N,No Irish,N,21,15,36,,36,,,,,,MS
174,Clare,Clare County Council,17816S,Cooraclare B N S,Catholic,N,No Irish,N,52,54,106,,19,21,,66,,,MS
175,Clare,Clare County Council,17832Q,Kilnaboy N S,Catholic,N,No Irish,N,35,53,88,,19,44,25,,,,MS
176,Clare,Clare County Council,17847G,S N Aibhistin Naofa,Catholic,N,No Irish,N,22,12,34,,14,20,,,,,MS
177,Clare,Clare County Council,17957N,Ennis Convent Inf N S,Catholic,N,No Irish,Y,96,105,201,,80,107,,,,,MS
178,Clare,Clare County Council,18032M,S N Cluain Muinge,Catholic,N,No Irish,N,78,79,157,,16,,78,63,,,MS
179,Clare,Clare County Council,18109V,S N Inis Cealtrach,Catholic,N,No Irish,N,37,27,64,,37,,27,,,,MS
180,Clare,Clare County Council,18168O,S N An Chrioch,Catholic,N,No Irish,N,15,26,41,,19,22,,,,,MS
181,Clare,Clare County Council,18190H,S N Cronain Nfa An Carn,Catholic,N,No Irish,N,10,16,26,,26,,,,,,MS
182,Clare,Clare County Council,18225A,S N Mhuire Miliuc,Catholic,N,No Irish,N,71,68,139,,15,22,102,,,,MS
183,Clare,Clare County Council,18227E,Scoil Mhuire Naisiunta,Catholic,N,No Irish,N,66,68,134,,,46,28,60,,,MS
184,Clare,Clare County Council,18327I,S N Cnoc Doire,Catholic,N,No Irish,N,13,14,27,,27,,,,,,MS
185,Clare,Clare County Council,18339P,Sn Iosef Naofa,Catholic,N,All Irish,N,11,14,25,,25,,,,,,MS
186,Clare,Clare County Council,18359V,S N Cuan,Catholic,N,No Irish,N,18,22,40,,19,21,,,,,MS
187,Clare,Clare County Council,18410S,S N Liosceanuir,Catholic,N,No Irish,N,39,34,73,,,20,53,,,,MS
188,Clare,Clare County Council,18467B,S N Baile An Droichid,Catholic,N,No Irish,N,70,57,127,,19,48,29,31,,,MS
189,Clare,Clare County Council,18526O,Ballycar N S,Catholic,N,No Irish,N,18,12,30,,30,,,,,,MS
190,Clare,Clare County Council,18540I,Cluain Draigneach,Catholic,N,No Irish,N,18,2,20,8,12,,,,,,MS
191,Clare,Clare County Council,18541K,S N Cathair Aodha,Catholic,N,No Irish,N,19,18,37,,12,,25,,,,MS
192,Clare,Clare County Council,18555V,Lissycasey N S,Catholic,N,No Irish,N,74,74,148,,,23,28,97,,,MS
193,Clare,Clare County Council,18565B,S N Ma Sheasta,Catholic,N,No Irish,N,24,32,56,,33,23,,,,,MS
194,Clare,Clare County Council,18624O,Mercy Convent Killaloe,Catholic,N,No Irish,N,0,94,94,,34,,27,33,,,MS
195,Clare,Clare County Council,18630J,Carrigaholt Mixed N S,Catholic,N,No Irish,N,16,15,31,,11,20,,,,,MS
196,Clare,Clare County Council,18639E,S N Baile Na Cailli,Catholic,N,No Irish,N,35,52,87,,34,24,29,,,,MS
197,Clare,Clare County Council,18696Q,S N Dubh Rath,Catholic,N,No Irish,N,50,42,92,,,65,27,,,,MS
198,Clare,Clare County Council,18720K,Miltown Malbay B N S,Catholic,N,No Irish,N,43,55,98,,,48,50,,,,MS
199,Clare,Clare County Council,18739I,Shannon Airport 1 N S,Catholic,N,No Irish,N,56,66,122,,18,20,54,30,,,MS
200,Clare,Clare County Council,18740Q,Shannon Airport No 2 Ns,Church Of Ireland,N,No Irish,N,9,3,12,,12,,,,,,MS
201,Clare,Clare County Council,18753C,Saint Marys N S Lahinch,Catholic,N,No Irish,N,78,67,145,,18,23,104,,,,MS
202,Clare,Clare County Council,18768P,Forgleann N S,Catholic,N,No Irish,N,21,15,36,,36,,,,,,MS
203,Clare,Clare County Council,18846J,An Daingin,Catholic,N,No Irish,N,10,7,17,5,12,,,,,,MS
204,Clare,Clare County Council,18950E,Dromindoora N.S.,Catholic,N,No Irish,N,22,17,39,,18,21,,,,,MS
205,Clare,Clare County Council,19043W,New Quay Ns,Catholic,N,No Irish,N,8,18,26,9,17,,,,,,MS
206,Clare,Clare County Council,19274S,St Conaires Ns,Catholic,N,No Irish,N,256,239,495,,,155,77,189,74,,MS
207,Clare,Clare County Council,19338S,Flagmount Central Ns,Catholic,N,No Irish,N,28,28,56,,35,21,,,,,MS
208,Clare,Clare County Council,19366A,Scariff Central N S,Catholic,N,No Irish,N,88,77,165,,,24,111,30,,,MS
209,Clare,Clare County Council,19386G,Labasheeda Central N S,Catholic,N,No Irish,N,8,13,21,,21,,,,,,MS
210,Clare,Clare County Council,19442N,Ruan Central Ns,Catholic,N,No Irish,N,55,53,108,,,,108,,,,MS
211,Clare,Clare County Council,19551S,Inchicronan Central Ns,Catholic,N,No Irish,N,62,48,110,,,24,54,32,,,MS
212,Clare,Clare County Council,19552U,Naomh Tola,Catholic,N,No Irish,N,115,112,227,,37,22,137,31,,,MS
213,Clare,Clare County Council,19559L,Chriost Ri,Catholic,N,No Irish,Y,107,117,224,,127,65,,32,,,MS
214,Clare,Clare County Council,19698C,St Aidans Ns,Catholic,N,No Irish,N,141,128,269,,,87,84,63,35,,MS
215,Clare,Clare County Council,19700J,Lisdoonvarna N S,Catholic,N,No Irish,N,54,59,113,,,24,54,,35,,MS
216,Clare,Clare County Council,19838P,Gael Sc Mhichil Chiosog,Catholic,N,All Irish,N,168,207,375,,38,110,81,33,113,,MS
217,Clare,Clare County Council,19849U,Gaelscoil Donncha Rua,Catholic,N,All Irish,N,31,36,67,,,67,,,,,MS
218,Clare,Clare County Council,19999Q,Gaelscoil Ui Choimin,Catholic,N,All Irish,N,34,37,71,,,44,27,,,,MS
219,Clare,Clare County Council,20041C,Convent Of Mercy National School,Catholic,N,No Irish,Y,156,152,308,,17,199,26,60,,,MS
220,Clare,Clare County Council,20075T,St Mochullas N.S.,Catholic,N,No Irish,N,147,143,290,,19,64,,96,111,,MS
221,Clare,Clare County Council,20078C,Sn Realt Na Mara,Catholic,N,No Irish,Y,34,32,66,,,41,25,,,,MS
222,Clare,Clare County Council,20086B,Ennis Educate Together Ns,Multi Denominational,N,No Irish,Y,55,45,100,,,44,56,,,,MS
223,Clare,Clare County Council,20127M,Scoil Na Maighdine Mhuire,Catholic,N,No Irish,N,100,106,206,,,24,83,99,,,MS
224,Clare,Clare County Council,20149W,St Fachnan & St Attractas N S,Catholic,N,No Irish,N,27,30,57,,32,,25,,,,MS
225,Clare,Clare County Council,20245S,Ennistymon National School,Catholic,N,No Irish,Y,56,60,116,,19,47,50,,,,MS
226,Clare,Clare County Council,20312H,Raheen Wood Steiner School,Multi Denominational,N,No Irish,N,46,58,104,,19,,55,30,,,MS
